SKU,GCODE,Category,New Description,NMFC,Treads,Width,Depth,Gauge,Height,Length,Capacity,WEIGHT,Stock,Type
SO1424,SO,STAIRS,"STAIRS-OSHA-SPI-14 TREADSx24""TREAD WIDTH nan",65,,,,,,,,420.0 lbs,,
SO1430,SO,STAIRS,"STAIRS-OSHA-SPI-14 TREADSx30""TREAD WIDTH nan",65,,,,,,,,420.0 lbs,,
SO1436,SO,STAIRS,"STAIRS-OSHA-SPI-14 TREADSx36""TREAD WIDTH nan",65,,,,,,,,420.0 lbs,,
SO1440,SO,STAIRS,"STAIRS-OSHA-SPI-14 TREADSx40""TREAD WIDTH nan",65,,,,,,,,420.0 lbs,,
SO1448,SO,STAIRS,"STAIRS-OSHA-SPI-14 TREADSx48""TREAD WIDTH nan",65,,,,,,,,420.0 lbs,,
SO1524,SO,STAIRS,"STAIRS-OSHA-SPI-15 TREADSx24""TREAD WIDTH nan",65,,,,,,,,450.0 lbs,,
SO1530,SO,STAIRS,"STAIRS-OSHA-SPI-15 TREADSx30""TREAD WIDTH nan",65,,,,,,,,450.0 lbs,,
SO1536,SO,STAIRS,"STAIRS-OSHA-SPI-15 TREADSx36""TREAD WIDTH nan",65,,,,,,,,450.0 lbs,,
SO1540,SO,STAIRS,"STAIRS-OSHA-SPI-15 TREADSx40""TREAD WIDTH nan",65,,,,,,,,450.0 lbs,,
SO1548,SO,STAIRS,"STAIRS-OSHA-SPI-15 TREADSx48""TREAD WIDTH nan",65,,,,,,,,450.0 lbs,,
SO1624,SO,STAIRS,"STAIRS-OSHA-SPI-16 TREADSx24""TREAD WIDTH nan",65,,,,,,,,480.0 lbs,,
SO1630,SO,STAIRS,"STAIRS-OSHA-SPI-16 TREADSx30""TREAD WIDTH nan",65,,,,,,,,480.0 lbs,,
SO1636,SO,STAIRS,"STAIRS-OSHA-SPI-16 TREADSx36""TREAD WIDTH nan",65,,,,,,,,480.0 lbs,,
SO1640,SO,STAIRS,"STAIRS-OSHA-SPI-16 TREADSx40""TREAD WIDTH nan",65,,,,,,,,480.0 lbs,,
SO1648,SO,STAIRS,"STAIRS-OSHA-SPI-16 TREADSx48""TREAD WIDTH nan",65,,,,,,,,480.0 lbs,,
SO1724,SO,STAIRS,"STAIRS-OSHA-SPI-17 TREADSx24""TREAD WIDTH nan",65,,,,,,,,510.0 lbs,,
SO1730,SO,STAIRS,"STAIRS-OSHA-SPI-17 TREADSx30""TREAD WIDTH nan",65,,,,,,,,510.0 lbs,,
SO1736,SO,STAIRS,"STAIRS-OSHA-SPI-17 TREADSx36""TREAD WIDTH nan",65,,,,,,,,510.0 lbs,,
SO1740,SO,STAIRS,"STAIRS-OSHA-SPI-17 TREADSx40""TREAD WIDTH nan",65,,,,,,,,510.0 lbs,,
SO1748,SO,STAIRS,"STAIRS-OSHA-SPI-17 TREADSx48""TREAD WIDTH nan",65,,,,,,,,510.0 lbs,,
SO1824,SO,STAIRS,"STAIRS-OSHA-SPI-18 TREADSx24""TREAD WIDTH nan",65,,,,,,,,540.0 lbs,,
SO1830,SO,STAIRS,"STAIRS-OSHA-SPI-18 TREADSx30""TREAD WIDTH nan",65,,,,,,,,540.0 lbs,,
SO1836,SO,STAIRS,"STAIRS-OSHA-SPI-18 TREADSx36""TREAD WIDTH nan",65,,,,,,,,540.0 lbs,,
SO1840,SO,STAIRS,"STAIRS-OSHA-SPI-18 TREADSx40""TREAD WIDTH nan",65,,,,,,,,540.0 lbs,,
SO1848,SO,STAIRS,"STAIRS-OSHA-SPI-18 TREADSx48""TREAD WIDTH nan",65,,,,,,,,540.0 lbs,,
SO224,SO,STAIRS,"STAIRS-OSHA-SPI-2  TREADSx24""TREAD WIDTH NO HANDRAIL IS STANDARD",65,,,,,,,,60.0 lbs,,
SO230,SO,STAIRS,"STAIRS-OSHA-SPI-2  TREADSx30""TREAD WIDTH NO HANDRAIL IS STANDARD",65,,,,,,,,60.0 lbs,,
SO236,SO,STAIRS,"STAIRS-OSHA-SPI- 2 TREADSx36""TREAD WIDTH NO HANDRAIL IS STANDARD",65,,,,,,,,60.0 lbs,,
SO240,SO,STAIRS,"STAIRS-OSHA-SPI- 2 TREADSx40""TREAD WIDTH NO HANDRAIL IS STANDARD",65,,,,,,,,60.0 lbs,,
SO248,SO,STAIRS,"STAIRS-OSHA-SPI- 2 TREADSx48""TREAD WIDTH NO HANDRAIL IS STANDARD",65,,,,,,,,60.0 lbs,,
SO324,SO,STAIRS,"STAIRS-OSHA-SPI- 3 TREADSx24""TREAD WIDTH nan",65,,,,,,,,90.0 lbs,,
SO330,SO,STAIRS,"STAIRS-OSHA-SPI- 3 TREADSx30""TREAD WIDTH nan",65,,,,,,,,90.0 lbs,,
SO336,SO,STAIRS,"STAIRS-OSHA-SPI- 3 TREADSx36""TREAD WIDTH nan",65,,,,,,,,90.0 lbs,,
SO340,SO,STAIRS,"STAIRS-OSHA-SPI- 3 TREADSx40""TREAD WIDTH nan",65,,,,,,,,90.0 lbs,,
SO348,SO,STAIRS,"STAIRS-OSHA-SPI- 3 TREADSx48""TREAD WIDTH nan",65,,,,,,,,90.0 lbs,,
SO424,SO,STAIRS,"STAIRS-OSHA-SPI- 4 TREADSx24""TREAD WIDTH nan",65,,,,,,,,120.0 lbs,,
SO430,SO,STAIRS,"STAIRS-OSHA-SPI- 4 TREADSx30""TREAD WIDTH nan",65,,,,,,,,120.0 lbs,,
SO436,SO,STAIRS,"STAIRS-OSHA-SPI- 4 TREADSx36""TREAD WIDTH nan",65,,,,,,,,120.0 lbs,,
SO440,SO,STAIRS,"STAIRS-OSHA-SPI- 4 TREADSx40""TREAD WIDTH nan",65,,,,,,,,120.0 lbs,,
SO448,SO,STAIRS,"STAIRS-OSHA-SPI- 4 TREADSx48""TREAD WIDTH nan",65,,,,,,,,120.0 lbs,,
SO524,SO,STAIRS,"STAIRS-OSHA-SPI- 5 TREADSx24""TREAD WIDTH nan",65,,,,,,,,150.0 lbs,,
SO530,SO,STAIRS,"STAIRS-OSHA-SPI- 5 TREADSx30""TREAD WIDTH nan",65,,,,,,,,150.0 lbs,,
SO536,SO,STAIRS,"STAIRS-OSHA-SPI- 5 TREADSx36""TREAD WIDTH nan",65,,,,,,,,150.0 lbs,,
SO540,SO,STAIRS,"STAIRS-OSHA-SPI- 5 TREADSx40""TREAD WIDTH nan",65,,,,,,,,150.0 lbs,,
SO548,SO,STAIRS,"STAIRS-OSHA-SPI- 5 TREADSx48""TREAD WIDTH nan",65,,,,,,,,150.0 lbs,,
SO624,SO,STAIRS,"STAIRS-OSHA-SPI- 6 TREADSx24""TREAD WIDTH 3",65,,,,,,,,180.0 lbs,,
